Element,group,period,atomic number,radius,electronegativity,ionization,affinity,volume,weight,melting,boiling,density,Zeff,polarizability,resistivity,fusion,vaporization,atomization,capacity,valence,d-electron
Fr,1,7,87,,0.7,,0.486,,223.0197,27,677,,,48.7,33.33,,,71,,,
Ra,2,7,88,,0.9,5.279,0.1,39,226.0254,700,1140,5.8,4.36,38.3,,,,163,,,
Ac,3,9,89,,1.1,6.9,0.35,22.54,227.0278,1051,3198,10.07,4.99,32.1,,,,301,0.12,,
Th,3,9,90,1.65,1.3,6.08,1.17,19.8,232.0381,1750,4788,11.72,4.68,32.1,14.7,15.65,543.92,565,0.113,,
Pa,3,9,91,,1.5,5.89,0.55,15.03,231.03588,1572,,15.37,4.61,25.4,17.7,12.34,,,,,
U,3,9,92,1.42,1.38,6.05,0.53,12.49,238.0289,1135,4131,19.05,4.67,27.4,28,15.48,477,489.5,0.116,,
Np,3,9,93,,1.36,6.19,0.48,11.59,237.0482,644,,20.45,4.72,24.8,121.65,3.2,,,0.12,,
Pu,3,9,94,,1.28,5.8,-0.5,12.32,244.0642,640,3228,19.816,4.57,24.5,150.15,2.82,344,360,0.13,,
Am,3,9,95,,1.3,5.993,0.1,17.78,243.0614,1176,2607,13.67,4.65,23.3,45.45,14.39,,268,0.11,,
Cm,3,9,96,,1.3,6.02,0.28,18.29,247.0703,1345,,13.51,4.66,23,,15,,,,,
Bk,3,9,97,,1.3,6.23,-1.72,,247.0703,1050,,14.78,4.74,22.7,,,,,,,
Cf,3,9,98,,1.3,6.3,-1.01,,251.0796,900,,,4.76,20.5,,,,,,,
Es,3,9,99,,1.3,6.42,-0.3,,252.083,860,,,4.81,19.7,,,,,,,
Fm,3,9,100,,1.3,6.5,0.35,,257.0951,1527,,,4.84,23.8,,,,,,,
Md,3,9,101,,1.3,6.58,0.98,,258.1,827,,,4.87,18.2,,,,,,,
No,3,9,102,,1.3,6.65,-2.33,,259.1009,827,,,4.9,17.5,,,,,,,
Lr,3,7,103,,1.3,,-0.31,,262.11,1627,,,,,,,,,,,
